Title,Price,Star Rating,Genre,Publication Year,Page Count
"Love, Lies and Spies",20.55,2,Psychology,1990,200
How to Speak Golf: An Illustrated Guide to Links Lingo,58.32,5,Paranormal,2012,400
Hide Away (Eve Duncan #20),11.84,1,Romance,1982,200
Furiously Happy: A Funny Book About Horrible Things,41.46,4,Art,2014,450
Everyday Italian: 125 Simple and Delicious Recipes,20.1,5,Fantasy,2012,250
Equal Is Unfair: America's Misguided Fight Against Income Inequality,56.86,1,Thriller,1962,200
Eleanor & Park,56.51,5,Chick Lit,2022,350
Dirty (Dive Bar #1),40.83,4,Contemporary,2022,300
Can You Keep a Secret? (Fear Street Relaunch #4),48.64,1,Science Fiction,2014,250
Boar Island (Anna Pigeon #19),59.48,3,Philosophy,1962,400
A Paris Apartment,39.01,4,Science,2020,400
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",38.77,1,Contemporary,2012,400
Troublemaker: Surviving Hollywood and Scientology,48.39,2,Ebooks,2020,300
The Widow,27.26,2,Travel,2018,300
"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,4,Suspense,2010,200
The Improbability of Love,59.45,1,Fiction,2015,250
The Art of Startup Fundraising,21.0,3,Crime,1982,400
Take Me Home Tonight (Rock Star Romance #3),53.98,3,Agriculture,1962,400
Sleeping Giants (Themis Files #1),48.74,1,Suspense,2010,400
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",21.15,2,Non-Fiction,2010,200
Playing with Fire,13.71,3,Horror,1861,300
Off the Hook (Fishing for Trouble #1),47.67,3,Ebooks,2022,250
Mothering Sunday,13.34,2,History,1990,250
"Mother, Can You Not?",16.89,5,Crime,1962,350
M Train,27.18,1,Fantasy,2020,400
Lilac Girls,17.28,2,Romance,2015,250
Lies and Other Acts of Love,45.14,1,Paranormal,2013,400
Lab Girl,40.85,1,Non-Fiction,2020,250
Keep Me Posted,20.46,4,Alternate-History,2020,130
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,56.27,3,Travel,2022,400
Grey (Fifty Shades #4),48.49,4,Romance,2019,300
"Exit, Pursued by a Bear",51.34,4,Crime,2021,250
Daredevils,16.34,3,Chick Lit,1998,300
Cravings: Recipes for What You Want to Eat,20.5,3,Paranormal,1982,250
Born for This: How to Find the Work You Were Meant to Do,21.59,5,Philosophy,2020,250
Arena,21.36,4,Fantasy,2018,250
Adultery,20.88,5,Children,2020,250
A Mother's Reckoning: Living in the Aftermath of Tragedy,19.53,3,Historical Figures,2016,200
A Gentleman's Position (Society of Gentlemen #3),14.75,5,Non-Fiction,2021,450
11/22/1963,48.48,3,Science Fiction,2018,250
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",24.57,2,Self Help,2020,130
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,49.71,5,Business,1861,300
Without Shame,48.27,5,Horror,2019,200
Watchmen,58.05,4,Fantasy,2022,300
Unlimited Intuition Now,58.87,4,Paranormal,2020,300
Underlying Notes,11.82,2,Comics,1998,200
The Shack,28.03,1,Spirituality,2013,400
The New Brand You: Your New Image Makes the Sale for You,44.05,5,Science,1962,140
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",12.34,4,Fantasy,1990,250
The Flowers Lied,16.68,2,Comics,1971,450
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",55.91,1,History,1861,400
The Book of Mormon,24.57,3,Psychology,1982,140
The Art and Science of Low Carbohydrate Living,52.98,5,Manga,1861,130
The Alien Club,54.4,1,Science Fiction,2012,250
Suzie Snowflake: One beautiful flake (a self-esteem story),54.81,5,Amazon,2010,250
Nap-a-Roo,25.08,1,Memoir,1962,200
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",10.41,4,Sports,2021,450
Modern Day Fables,47.44,2,Fantasy,2015,300
If I Gave You God's Phone Number....: Searching for Spirituality in America,20.91,1,Religion,1861,300
"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,4,Aeroplanes,2020,300
Dress Your Family in Corduroy and Denim,43.68,3,Historical Figures,1998,300
Don't Forget Steven,33.23,1,Spirituality,1990,400
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,35.92,2,Art,2013,200
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,48.63,4,Suspense,1998,400
A Shard of Ice (The Black Symphony Saga #1),56.63,3,Music,2017,250
A Hero's Curse (The Unseen Chronicles #1),50.49,3,Cookbooks,2012,300
23 Degrees South: A Tropical Tale of Changing Whether...,35.79,2,Sports,1861,140
"Zero to One: Notes on Startups, or How to Build the Future",34.06,3,Adventure,2018,300
Why Not Me?,17.76,1,Fantasy,2018,400
When Breath Becomes Air,39.36,2,Amazon,2014,450
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,2,Science,2016,300
The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),43.62,5,Thriller,1990,400
The New Drawing on the Right Side of the Brain,43.02,3,Amazon,2015,200
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",28.45,4,Comics,1990,400
The Martian (The Martian #1),41.39,2,Horror,2014,400
The High Mountains of Portugal,51.15,1,Science,2012,300
The Grownup,35.88,1,Historical Figures,1998,200
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,36.91,1,Memoir,1861,400
South of Sunshine,28.93,1,Suspense,2017,300
Smarter Faster Better: The Secrets of Being Productive in Life and Business,38.89,5,Crime,2014,250
Silence in the Dark (Logan Point #4),58.33,3,Mystery,2014,250
Shadows of the Past (Logan Point #1),39.67,5,History,2013,200
Roller Girl,14.1,5,Thriller,2022,200
Rising Strong,21.82,3,Fantasy,2013,200
Proofs of God: Classical Arguments from Tertullian to Barth,54.21,1,Science Fiction,2012,300
Please Kill Me: The Uncensored Oral History of Punk,31.19,4,Art,2022,250
Out of Print: City Lights Spotlight No. 14,53.64,5,Fantasy,2012,300
My Life Next Door (My Life Next Door ),36.39,5,Art,2013,300
Miller's Valley,58.54,2,Crime,2022,200
Man's Search for Meaning,29.48,3,Religion,1982,200
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",25.06,2,Travel,2019,400
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,12.55,3,Mystery,2015,300
Les Fleurs du Mal,29.04,5,Biography,2010,200
Left Behind (Left Behind #1),40.72,2,Science Fiction,2017,250
Kill 'Em and Leave: Searching for James Brown and the American Soul,45.05,5,Memoir,1861,250
Kierkegaard: A Christian Missionary to Christians,47.13,1,Romance,1861,300
John Vassos: Industrial Design for Modern Life,20.22,4,Non-Fiction,1990,250
I'll Give You the Sun,56.48,1,Philosophy,1998,350
I Will Find You,44.21,1,Romance,1990,400
Hystopia: A Novel,21.96,4,Travel,2020,300
Howl and Other Poems,40.45,2,Fiction,2017,200
History of Beauty,10.29,4,Aircraft,2021,400
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,52.86,2,Romance,2021,250
Future Shock (Future Shock #1),55.65,5,Crime,1990,250
Ender's Game (The Ender Quintet #1),43.64,1,Mystery,2020,400
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,28.41,1,Historical Figures,2015,250
Death by Leisure: A Cautionary Tale,37.51,4,Romance,2014,200
Brilliant Beacons: A History of the American Lighthouse,11.45,3,Fantasy,2017,350
Brazen: The Courage to Find the You That's Been Hiding,19.22,2,Psychology,1998,130
Between the World and Me,56.91,4,Comics,2014,300
Being Mortal: Medicine and What Matters in the End,55.06,4,Fantasy,2012,400
"A Murder Over a Girl: Justice, Gender, Junior High",13.2,3,Crime,1962,300
32 Yolks,53.63,2,Music,2021,400
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",44.48,5,Fantasy,2016,300
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,12.08,3,Business,1962,200
Wildlife of New York: A Five-Borough Coloring Book,22.14,2,Agriculture,1990,300
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5,Horror,2018,250
Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,46.33,2,Fantasy,2014,300
Under the Tuscan Sun,37.33,3,Self Help,2015,450
Toddlers Are A**holes: It's Not Your Fault,25.55,1,Travel,1971,400
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,34.72,1,Travel,1962,200
The Whale,35.96,4,Contemporary,2018,400
The Story of Art,41.14,4,Art,2018,250
The Origin of Species,10.01,4,Travel,2015,400
The Great Gatsby,36.05,4,Chick Lit,2015,300
The Good Girl,49.03,3,Agriculture,1990,450
The Glass Castle,16.24,1,Science Fiction,1861,200
The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,39.55,1,Horror,2012,400
The Drowning Girls,35.67,3,History,1990,400
The Constant Princess (The Tudor Court #1),16.62,3,Humor and ComedyHumor and Comedy,2010,300
The Bourne Identity (Jason Bourne #1),42.78,4,Business,1982,300
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5,Philosophy,2013,140
The Art Book,32.34,2,Amazon,1982,200
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,33.17,4,Historical Figures,1990,200
Team of Rivals: The Political Genius of Abraham Lincoln,20.12,5,Fantasy,1861,300
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,20.9,2,Manga,2017,350
"Sit, Stay, Love",20.9,3,Science Fiction,2017,350
Sister Dear,40.2,4,Agriculture,1982,350
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",52.87,3,Thriller,2018,250
"Rich Dad, Poor Dad",51.74,1,Crime,1998,200
Raymie Nightingale,34.41,2,Romance,2019,300
Playing from the Heart,32.38,1,Paranormal,1990,400
Nightstruck: A Novel,50.35,4,Aircraft,2022,300
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",11.38,5,Self Help,2013,130
Meternity,43.58,3,Children,1971,300
Memoirs of a Geisha,49.67,3,Agriculture,1990,400
Like Never Before (Walker Family #2),28.77,2,Horror,2018,130
Life of Pi,13.22,4,Crime,2014,400
Leave This Song Behind: Teen Poetry at Its Best,51.17,5,Classics,2017,350
King's Folly (The Kinsman Chronicles #1),39.61,5,Adventure,1861,200
John Adams,57.43,4,Graphic NovelsGraphic Novels,1998,300
How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything),46.01,4,Spirituality,2022,300
How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,28.25,2,Self Help,2019,130
Good in Bed (Cannie Shapiro #1),37.05,5,Thriller,1861,300
"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,1,Suspense,2012,450
For the Love: Fighting for Grace in a World of Impossible Standards,45.13,3,Memoir,2013,200
Finding God in the Ruins: How God Redeems Pain,46.64,2,Crime,1971,250
Every Heart a Doorway (Every Heart A Doorway #1),12.16,5,History,2019,200
Delivering the Truth (Quaker Midwife Mystery #1),20.89,4,Romance,2010,250
Counted With the Stars (Out from Egypt #1),17.97,5,Romance,2017,250
"Chronicles, Vol. 1",52.6,2,Horror,1982,400
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,25.77,1,Philosophy,1861,300
Benjamin Franklin: An American Life,48.19,3,Poetry,2022,140
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93,5,Self Help,2010,400
A Summer In Europe,44.34,2,Chick Lit,2013,250
A Short History of Nearly Everything,52.4,5,Adventure,2020,400
A Gathering of Shadows (Shades of Magic #2),44.81,4,Thriller,1998,250
The Sound Of Love,57.84,5,Self Help,1990,200
The Rise and Fall of the Third Reich: A History of Nazi Germany,39.67,2,Romance,1971,250
The Perks of Being a Wallflower,55.02,3,Aircraft,1982,130
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,4,Contemporary,1990,400
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,59.45,4,History,2017,200
The Makings of a Fatherless Child,31.58,2,Science Fiction,2022,250
The Joy of Cooking,43.27,4,Fantasy,2010,140
The Invention of Wings,37.34,1,Science Fiction,1998,250
The Hobbit (Middle-Earth Universe),17.8,5,Thriller,2010,400
The Great Railway Bazaar,30.54,1,Travel,2015,200
The Golden Compass (His Dark Materials #1),18.77,1,Spirituality,2015,300
The God Delusion,46.85,3,Science,1982,300
The Girl You Left Behind (The Girl You Left Behind #1),15.79,1,Romance,1971,250
The Fellowship of the Ring (The Lord of the Rings #1),10.27,2,Spirituality,2022,200
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),15.42,5,Spirituality,2015,300
The Barefoot Contessa Cookbook,59.92,5,Romance,2016,250
Tell the Wolves I'm Home,50.96,2,Travel,2021,400
Ship Leaves Harbor: Essays on Travel by a Recovering Journeyman,30.6,3,Crime,1861,300
Pride and Prejudice,19.27,4,Romance,2022,130
Musicophilia: Tales of Music and the Brain,46.58,1,Adventure,1982,350
Mere Christianity,48.51,3,Thriller,2014,200
Me Before You (Me Before You #1),19.02,1,Thriller,2021,250
In the Woods (Dublin Murder Squad #1),38.38,2,Chick Lit,1998,200
In Cold Blood,49.98,4,Children,2012,250
How to Stop Worrying and Start Living,46.49,5,Children,2016,130
Give It Back,18.32,2,Religion,2020,250
"Girl, Interrupted",42.14,3,Mystery,2010,300
Fun Home: A Family Tragicomic,56.59,4,Mystery,1971,300
"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,4,Suspense,2021,300
Deception Point,40.32,4,Self Help,2014,400
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",36.39,3,Amazon,2015,250
Catherine the Great: Portrait of a Woman,58.55,4,Self Help,1861,400
Better Homes and Gardens New Cook Book,39.61,3,Self Help,1998,400
An Unquiet Mind: A Memoir of Moods and Madness,21.3,3,History,1990,400
A Year in Provence (Provence #1),56.88,4,Manga,2020,250
World Without End (The Pillars of the Earth #2),32.97,4,Science Fiction,2022,200
"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",47.31,4,Adventure,2012,300
Why Save the Bankers?: And Other Essays on Our Economic and Political Crisis,48.67,2,Contemporary,2013,200
Where She Went (If I Stay #2),41.73,4,Mystery,1998,400
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,53.68,4,Religion,2013,200
Two Summers,14.64,1,Humor and ComedyHumor and Comedy,2016,130
This Is Your Brain on Music: The Science of a Human Obsession,38.4,1,Paranormal,2017,250
The Secret Garden,15.08,4,Horror,2017,200
The Raven King (The Raven Cycle #4),30.57,2,Paranormal,1990,400
The Raven Boys (The Raven Cycle #1),57.74,4,Horror,2012,200
The Power Greens Cookbook: 140 Delicious Superfood Recipes,11.05,5,Amazon,2020,350
The Metamorphosis,28.58,1,Historical Figures,2012,200
The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,42.91,5,Contemporary,1971,200
The Little Paris Bookshop,24.73,3,Adventure,2016,200
The Hiding Place,55.91,4,Self Help,2022,400
The Grand Design,13.76,3,Alternate-History,2018,450
The Firm,45.56,3,Crime,2020,400
The Fault in Our Stars,47.22,1,Children,1998,300
The False Prince (The Ascendance Trilogy #1),56.0,5,Fantasy,2014,300
The Expatriates,44.58,2,Crime,2013,250
The Dream Thieves (The Raven Cycle #2),34.5,1,Horror,2013,200
The Darkest Corners,11.33,5,Comics,2019,300
The Crossover,38.77,4,History,1998,300
The 5th Wave (The 5th Wave #1),11.83,2,Business,2015,300
Tell the Wind and Fire,45.51,3,Romance,2010,450
Tell Me Three Things,41.81,1,Mystery,2020,140
Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,25.15,4,Ebooks,2020,130
Siddhartha,34.22,5,Chick Lit,2015,250
Shiver (The Wolves of Mercy Falls #1),16.23,5,Agriculture,1962,250
Remember Me?,11.48,3,Manga,2016,300
Red Dragon (Hannibal Lecter #1),23.37,3,Aeroplanes,2019,140
Peak: Secrets from the New Science of Expertise,16.28,2,Contemporary,2015,450
My Mother Was Nuts,31.63,4,Contemporary,2018,130
Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,24.91,5,Historical Figures,2021,130
Maybe Something Beautiful: How Art Transformed a Neighborhood,22.54,1,Historical Figures,1998,400
Lola and the Boy Next Door (Anna and the French Kiss #2),23.63,4,Mystery,2020,200
Logan Kade (Fallen Crest High #5.5),13.12,2,Travel,2022,300
Last One Home (New Beginnings #1),59.98,3,Amazon,1971,250
Killing Floor (Jack Reacher #1),31.49,4,Children,1971,250
Kill the Boy Band,15.52,5,Psychology,1962,400
Isla and the Happily Ever After (Anna and the French Kiss #3),48.13,5,Crime,2012,350
If I Stay (If I Stay #1),38.13,5,Children,2021,250
I Know Why the Caged Bird Sings (Maya Angelou's Autobiography #1),36.55,2,Thriller,1962,250
Harry Potter and the Deathly Hallows (Harry Potter #7),23.32,1,Adventure,1962,200
"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,1,History,2022,140
Foundation (Foundation (Publication Order) #1),32.42,1,Business,2020,350
Fool Me Once,16.96,1,Amazon,1990,400
Find Her (Detective D.D. Warren #8),22.37,1,Cookbooks,2014,300
Evicted: Poverty and Profit in the American City,42.27,1,Crime,2019,450
Drama,38.7,2,Aircraft,2017,400
Dracula the Un-Dead,35.63,5,Romance,2012,450
Digital Fortress,58.0,5,Contemporary,2018,300
"Death Note, Vol. 5: Whiteout (Death Note #5)",52.41,1,Aeroplanes,2022,400
"Data, A Love Story: How I Gamed Online Dating to Meet My Match",32.35,3,Adventure,2021,200
Critique of Pure Reason,20.75,1,Historical Figures,2012,200
Booked,17.49,5,Crime,2013,400
"Blue Lily, Lily Blue (The Raven Cycle #3)",34.13,5,Fantasy,2010,250
Approval Junkie: Adventures in Caring Too Much,58.81,5,History,1990,400
An Abundance of Katherines,10.0,5,Cookbooks,2014,300
America's War for the Greater Middle East: A Military History,51.22,2,Graphic NovelsGraphic Novels,1998,300
Alight (The Generations Trilogy #2),58.59,4,Alternate-History,2021,300
A Girl's Guide to Moving On (New Beginnings #2),31.3,1,Agriculture,1982,400
A Game of Thrones (A Song of Ice and Fire #1),46.42,2,Contemporary,2020,200
A Feast for Crows (A Song of Ice and Fire #4),17.21,4,Chick Lit,2016,400
A Clash of Kings (A Song of Ice and Fire #2),10.79,3,History,1962,300
Vogue Colors A to Z: A Fashion Coloring Book,52.35,4,Science Fiction,2019,250
The Shining (The Shining #1),27.88,3,Mystery,2013,400
The Pilgrim's Progress,50.26,2,Romance,2014,400
The Perfect Play (Play by Play #1),59.99,3,Memoir,2012,300
The Passion of Dolssa,28.32,5,Business,2014,350
The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe,38.71,3,History,2017,200
The Hunger Games (The Hunger Games #1),29.85,5,Mystery,2022,200
The Hound of the Baskervilles (Sherlock Holmes #5),14.82,2,Self Help,2012,200
The Gunning of America: Business and the Making of American Gun Culture,16.81,4,Amazon,2015,400
The Geography of Bliss: One Grump's Search for the Happiest Places in the World,28.23,2,Crime,1962,400
The Demonists (Demonist #1),52.11,2,Agriculture,2017,250
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88,2,Science Fiction,2016,450
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),59.71,3,Aircraft,1971,400
The Beast (Black Dagger Brotherhood #14),46.08,5,Historical Figures,2012,250
Some Women,13.73,5,Ebooks,2017,250
Shopaholic Ties the Knot (Shopaholic #3),48.39,5,Crime,2017,200
Paper and Fire (The Great Library #2),49.45,5,Religion,2019,200
Outlander (Outlander #1),19.67,5,Graphic NovelsGraphic Novels,2014,250
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",12.36,3,Historical Figures,1861,300
No One Here Gets Out Alive,20.02,5,Psychology,1998,400
Night Shift (Night Shift #1-20),12.75,4,Chick Lit,2021,130
Needful Things,47.51,4,Aeroplanes,1971,140
Mockingjay (The Hunger Games #3),20.44,4,Art,2017,350
Misery,34.79,2,Thriller,2017,200
Little Women (Little Women #1),28.07,4,Philosophy,1971,400
It,25.01,3,Religion,2022,350
Harry Potter and the Sorcerer's Stone (Harry Potter #1),13.9,3,Horror,2014,200
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),24.17,4,Travel,2021,250
Harry Potter and the Order of the Phoenix (Harry Potter #5),31.63,4,Historical Figures,1962,400
Harry Potter and the Half-Blood Prince (Harry Potter #6),48.75,5,Music,2016,200
Harry Potter and the Chamber of Secrets (Harry Potter #2),14.74,1,Business,2020,450
Gone with the Wind,32.49,3,Graphic NovelsGraphic Novels,2019,400
God Is Not Great: How Religion Poisons Everything,27.8,1,Thriller,2019,350
Girl With a Pearl Earring,26.77,1,Chick Lit,2014,200
"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44,4,Chick Lit,1861,200
Far From True (Promise Falls Trilogy #2),34.93,2,Memoir,2022,400
Dark Lover (Black Dagger Brotherhood #1),12.87,1,Crime,2022,400
Confessions of a Shopaholic (Shopaholic #1),48.94,2,Crime,2021,400
Changing the Game (Play by Play #2),13.38,3,Chick Lit,2020,250
Candide,58.63,3,Adventure,2012,200
Can You Keep a Secret?,21.94,1,Historical Figures,2019,400
Atlas Shrugged,26.58,5,Science,2010,300
Animal Farm,57.22,3,Horror,1861,400
A Walk to Remember,56.43,1,Comics,1990,400
A New Earth: Awakening to Your Life's Purpose,55.65,5,Romance,2014,250
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",27.62,1,Suspense,2010,200
'Salem's Lot,49.56,4,Religion,2010,300
Zero History (Blue Ant #3),34.77,1,Philosophy,2013,300
Wuthering Heights,17.73,3,Cookbooks,1971,130
World War Z: An Oral History of the Zombie War,21.8,1,Humor and ComedyHumor and Comedy,2016,130
Wild: From Lost to Found on the Pacific Crest Trail,46.02,3,Travel,1962,400
"Where'd You Go, Bernadette",18.13,1,Non-Fiction,2020,200
When You Are Engulfed in Flames,30.89,5,Sports,2018,200
We the People: The Modern-Day Figures Who Have Reshaped and Affirmed the Founding Fathers' Vision of America,31.95,3,Horror,2012,250
We Are All Completely Beside Ourselves,24.04,1,Aircraft,1861,250
Walk the Edge (Thunder Road #2),32.36,3,Fantasy,2014,400
Voyager (Outlander #3),21.07,5,Spirituality,2015,300
Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,50.66,3,Ebooks,2020,450
Vegan Vegetarian Omnivore: Dinner for Everyone at the Table,13.66,2,Horror,1990,300
"Unstuffed: Decluttering Your Home, Mind, and Soul",58.09,1,Aeroplanes,1982,400
Under the Banner of Heaven: A Story of Violent Faith,30.0,1,Alternate-History,2018,250
Two Boys Kissing,32.74,2,History,2010,200
Twilight (Twilight #1),41.93,2,Philosophy,1982,400
Twenties Girl,42.8,2,Suspense,2018,300
"Trespassing Across America: One Man's Epic, Never-Done-Before (and Sort of Illegal) Hike Across the Heartland",53.51,1,Science Fiction,2018,140
Three-Martini Lunch,23.21,3,Crime,2012,200
"Thinking, Fast and Slow",21.14,1,Romance,1962,400
The Wild Robot,56.07,3,Romance,2013,300
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,3,Self Help,2016,140
The Undomestic Goddess,45.75,4,Horror,2019,350
The Travelers,15.77,1,Paranormal,2016,140
The Tipping Point: How Little Things Can Make a Big Difference,10.02,2,Alternate-History,2019,300
The Thing About Jellyfish,48.77,1,Crime,1971,400
The Stand,57.86,2,Horror,2018,350
The Smitten Kitchen Cookbook,23.59,1,Manga,2016,250
The Silkworm (Cormoran Strike #2),23.05,5,Music,2019,300
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,5,Art,2019,250
The Rose & the Dagger (The Wrath and the Dawn #2),58.64,4,Self Help,2018,400
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,1,Non-Fiction,2010,400
The Rise of Theodore Roosevelt (Theodore Roosevelt #1),42.57,3,Fantasy,1962,400
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),10.92,1,Graphic NovelsGraphic Novels,2015,250
The Rest Is Noise: Listening to the Twentieth Century,34.77,1,Psychology,2021,450
The Red Tent,35.66,5,Travel,1971,250
The Purpose Driven Life: What on Earth Am I Here for?,37.19,3,Manga,2020,350
The Purest Hook (Second Circle Tattoos #3),12.25,1,Science Fiction,2013,250
The Picture of Dorian Gray,29.7,2,Mystery,2014,300
The Paris Wife,36.8,3,Classics,2021,250
The Obsession,45.43,1,Thriller,2014,300
The Nightingale,26.26,4,Suspense,2020,200
The New Guy (and Other Senior Year Distractions),44.92,3,Thriller,2021,140
The Nanny Diaries (Nanny #1),52.53,5,Manga,2017,400
The Name of God is Mercy,37.25,2,Historical Figures,2017,300
The Maze Runner (The Maze Runner #1),20.93,1,Agriculture,2017,300
The Lover's Dictionary,58.09,2,Suspense,2010,400
The Lonely Ones,43.59,5,Adventure,1971,450
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,33.92,3,Agriculture,1971,250
The Last Painting of Sara de Vos,55.55,2,Adventure,2016,350
"The Land of 10,000 Madonnas",29.64,4,Romance,1982,300
The Infinities,27.41,1,Contemporary,1998,400
The Husband's Secret,52.51,5,Historical Figures,1962,140
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),47.8,3,Crime,2016,350
The Guns of August,14.54,2,Fiction,2021,300
The Guernsey Literary and Potato Peel Pie Society,49.53,1,Chick Lit,1982,250
The Goldfinch,43.58,3,Self Help,2015,350
The Giver (The Giver Quartet #1),12.3,1,Romance,1962,300
The Girl with All the Gifts,49.47,3,Science,1971,250
The Girl Who Played with Fire (Millennium Trilogy #2),22.14,2,Fantasy,2013,140
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy #3),57.48,1,Romance,2010,250
The Exiled,43.45,3,Sports,1971,400
"The End of Faith: Religion, Terror, and the Future of Reason",22.13,4,History,2015,400
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",13.03,4,Mystery,1971,200
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",57.35,5,Mystery,1962,200
The Devil Wears Prada (The Devil Wears Prada #1),44.29,1,Fantasy,1982,250
The Demon-Haunted World: Science as a Candle in the Dark,52.25,4,Suspense,2022,400
The Day the Crayons Came Home (Crayons),26.33,5,Travel,1998,300
The Da Vinci Code (Robert Langdon #2),22.96,2,Classics,2022,140
The Cuckoo's Calling (Cormoran Strike #1),19.21,1,Chick Lit,2016,250
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,4,Mystery,2014,450
The Complete Poems,41.32,5,Mystery,2017,250
The Catcher in the Rye,24.55,1,History,1982,300
The Cat in the Hat (Beginner Books B-1),16.26,2,Amazon,1971,200
The Case for Christ (Cases for Christianity),47.84,1,Classics,2021,400
The Book Thief,53.49,2,Historical Figures,2021,250
The Book of Basketball: The NBA According to The Sports Guy,44.84,5,Chick Lit,1990,300
The Blind Side: Evolution of a Game,53.71,5,Manga,2014,200
The Autobiography of Malcolm X,23.43,2,Comics,2020,250
"The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution",34.32,3,Amazon,2019,250
The Art of Fielding,22.1,1,Horror,2016,200
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",25.83,2,Romance,1998,250
Stiff: The Curious Lives of Human Cadavers,36.74,3,Alternate-History,2012,300
